P0	P1	P2	P3	P4	DFO	DIL	DFI	DOL	allsites
bic_1	SPC.3.1	HST2.1	CAR-C27.1	V480	0.258339	0.275939	0.038521	0.06452	600841
bic_1	SPC.3.1	HST2.1	CARC3.1	V480	0.252929	0.272737	0.03837	0.067761	600310
bic_1	SPC.3.1	HST2.1	CAR-C4.1	V480	0.216461	0.235319	0.036514	0.065281	607627
bic_1	SPC.3.1	HST2.1	CED1.1	V480	0.206606	0.225627	0.037942	0.067113	604177
bic_1	SPC.3.1	HST2.1	CED2.1	V480	0.167126	0.185538	0.037642	0.066794	612915
bic_1	SPC.3.1	HST2.1	CED3.1	V480	0.356614	0.374241	0.041702	0.065955	580156
bic_1	SPC.3.1	HST2.1	CUY1.1	V480	0.288717	0.307825	0.038416	0.066145	590212
bic_1	SPC.3.1	HST2.1	CUY.2.1	V480	0.298508	0.317446	0.036913	0.064253	589506
bic_1	SPC.3.1	HST2.1	CUY3.1	V480	0.277298	0.295793	0.039008	0.065969	594653
bic_1	SPC.3.1	HST2.1	GRM4.1	V480	0.222529	0.240452	0.039306	0.066492	601804
bic_1	SPC.3.1	HST2.1	GRM5.1	V480	0.238531	0.256895	0.037986	0.065513	600932
bic_1	SPC.3.1	HST2.1	IND2.1	V480	0.223707	0.24213	0.038424	0.066396	606002
bic_1	SPC.3.1	HST2.1	IND5.1	V480	0.223297	0.241747	0.037409	0.06542	606043
bic_1	SPC.3.1	HST2.1	IND6.1	V480	0.189787	0.208175	0.037896	0.066541	612994
bic_1	SPC.3.1	HST2.1	MNZ1.1	V480	0.25859	0.278646	0.03819	0.067866	596623
bic_1	SPC.3.1	HST2.1	MNZ2.1	V480	0.291824	0.310465	0.039289	0.066365	592221
bic_1	SPC.3.1	HST2.1	ONC1.1	V480	0.245927	0.264769	0.036839	0.064992	601999
bic_1	SPC.3.1	HST2.1	ONC2.1	V480	0.241345	0.260801	0.036715	0.065864	602613
bic_1	SPC.3.1	HST2.1	ONC3.1	V480	0.189455	0.208839	0.03551	0.06572	613367
bic_1	SPC.3.1	HST2.1	RED11.1	V480	0.208375	0.226121	0.039445	0.06673	609096
bic_1	SPC.3.1	HST2.1	RED15.1	V480	0.250934	0.26833	0.038211	0.064147	601552
bic_1	SPC.3.1	HST2.1	RED17.1	V480	0.197927	0.216265	0.038621	0.066998	611480
bic_1	SPC.3.1	HST2.1	RED18.1	V480	0.199277	0.219351	0.036121	0.067128	611542
bic_1	SPC.3.1	HST2.1	RED9.119	V480	0.231794	0.250644	0.038453	0.066874	605011
bic_1	SPC.3.1	HST2.1	SHV.1.1	V480	0.288487	0.309457	0.036251	0.066584	591993
bic_1	SPC.3.1	HST2.1	SLA1.1	V480	0.217173	0.235749	0.036915	0.065258	607963
bic_1	SPC.3.1	HST2.1	SLA3.1	V480	0.206176	0.225945	0.036495	0.066875	609957
bic_1	SPC.3.1	HST2.1	SLA5.1	V480	0.194071	0.214231	0.035399	0.066745	611219
bic_1	SPC.3.1	HST2.1	WFM1.1	V480	0.250047	0.270188	0.036014	0.066125	598173
bic_1	SPC.3.1	HST2.1	WFM2.2	V480	0.289146	0.30871	0.03836	0.066799	591579
bic_1	SPC.3.1	HST2.1	WFM3.1	V480	0.283106	0.300491	0.040513	0.065851	593844
bic_1	SPC.3.1	IOM3.1.1	ARS.1.1	V480	0.279489	0.282359	0.10671	0.120349	590056
bic_1	SPC.3.1	IOM3.1.1	ARS2.1	V480	0.275039	0.277933	0.109191	0.12297	588380
bic_1	SPC.3.1	IOM3.1.1	ARS3.1	V480	0.215617	0.219079	0.105591	0.122755	601874
bic_1	SPC.3.1	IOM3.1.1	CAR-C27.1	V480	0.260937	0.263814	0.107696	0.121358	597154
bic_1	SPC.3.1	IOM3.1.1	CARC3.1	V480	0.25536	0.258399	0.107017	0.121585	596636
bic_1	SPC.3.1	IOM3.1.1	CAR-C4.1	V480	0.218748	0.221142	0.110604	0.122386	603859
bic_1	SPC.3.1	IOM3.1.1	CED1.1	V480	0.209181	0.212972	0.103231	0.122029	600431
bic_1	SPC.3.1	IOM3.1.1	CED2.1	V480	0.168835	0.172876	0.101938	0.122578	609200
bic_1	SPC.3.1	IOM3.1.1	CED3.1	V480	0.35998	0.36436	0.10627	0.12568	576587
bic_1	SPC.3.1	IOM3.1.1	CUY1.1	V480	0.291247	0.294486	0.107094	0.122323	586533
